EPISODE_NUM	EPISODE_NAME	AUTHOR	START_YEAR	END_YEAR	START_CENTURY	END_CENTURY	MAIN_COUNTRY	MAIN_COUNTRY_ALPHA2	MAIN_CITY	COORD_LAT	COORD_LONG	COORD_ID	URL	DESCRIPTION	TAGS	IMG_URL
11	 Von Kindern und Kegeln	Daniel					Spain	ES					https://www.zeitsprung.fm/podcast/zs11/	Mit Kind und Kegel: Wer oder was ist eigentlich der »Kegel«? In diesem Zeitsprung gehen wir dieser Frage nach, sehen uns einen dieser Kegel genauer an und reisen gemeinsam von Regensburg nach Madrid und Brüssel.	Aristokratie,Don Juan de Austria,Karl V,Neuzeit,Spanien,Uneheliche Kinder	
12	 Ein Kaiser, ein Gott, viele Todesfälle	Daniel											https://www.zeitsprung.fm/podcast/zs12/	Ein Zeitsprung in die alte Geschichte und das spätantike Rom: Wir sprechen über römische Kaiser, einen Sonnengott, einen schwarzen Stein und ein unrühmliches Ende im Tiber.	Altertum,Antike,Folter,Helagabal,Kaiser,Rom,Tod	
13	 Ein Spionagefall erschüttert die Habsburger Monarchie	Daniel	1913	1913	20	20							https://www.zeitsprung.fm/podcast/zs13/	Wir springen ins Jahr 1913 nach Wien, wo am 24./25. Mai ein hochrangiges Mitglied der Armee als Spion enttarnt wird. Außerdem haben wir noch ein kleines Weihnachts-Special vorbereitet.	Habsburger Monarchie,Moderne,Neuere Geschichte,Spionage,Wien	
14	 Ein englisches Atlantis	Daniel					England	Unknown code					https://www.zeitsprung.fm/podcast/zs14/	Nicht erst seit Platos Atlantis, hat der Gedanke einer versunkenen Zivilisation die Menschen über die Jahrhunderte beschäftigt. Im letzten  Zeitsprung dieses Jahres sprechen wir über ein englisches Atlantis, das zwar nicht von der Größenordnung der sagenumwobenen Zivilisation war, dafür aber tatsächlich existiert hat.	England,Mittelalter,Naturkatastrophen,Städte	
15	 Das Mailüfterl	Daniel											https://www.zeitsprung.fm/podcast/zs15/	Der erste Zeitsprung in diesem Jahr führt uns in die Computergeschichte: Es geht um einen Computerpionier, der nicht nur einen der ersten Volltransistor-Rechenautomaten in Europa gebaut hat, sondern auch für eine Programmiersprache verantwortlich war.	Computer,Computergeschichte,Zeitgeschichte,Zemanek	
16	 Ton, Steine, Scherben oder wie Rom sich einen achten Hügel baute	Daniel					Spain	ES					https://www.zeitsprung.fm/podcast/zs16/	Was verbindet den Karthager Hannibal mit einem kleinen Hügel im Süden Roms? Seine Feldzüge gegen das Römische Reich sind es nicht, so viel sei verraten.	Altertum,Antike,Berg,Hannibal,Monte Testaccio,Olivenöl,Rom,Spanien	
17	 Eine Urkunde, ein Zeltlager und eine Fälschung	Daniel	1156	1156	12	12	Austria	AT					https://www.zeitsprung.fm/podcast/zs17/	In diesem Zeitsprung begeben wir uns mal wieder ins Mittelalter: Wir sprechen über ein außergewöhnliches Ereignis im Jahr 1156. Es treffen sich zwei Herzöge und ein Kaiser in einem Zeltlager auf den »Wiesen von Barbing«, wenige Kilometer östlich von Regensburg, zu einem Fahnenritual.	Barbing,Mittelalter,Österreich	
18	 Wie Russland den Bart verlor	Richard			17	17	England, Russia	Unknown code					https://www.zeitsprung.fm/podcast/zs18/	Wir springen ins Ende des 17. Jahrhunderts, Ort ist das Russland des jungen Zaren Peter des Großen. Seine Begeisterung für den Westen zeigt sich nicht nur in seinem Interesse an den Kriegsmarinen Hollands und Englands, sondern auch in Sitten, Kleidung und Aussehen der westlichen Adligen.	Bärte,Kirche,Neuzeit,Peter der Große,Russland,St. Petersburg,Strelizen	
19	 Wenn ein Wissenschaftler an Drachen glaubt	Daniel											https://www.zeitsprung.fm/podcast/zs19/	Ein Zeitsprung über einen Wissenschaftler, dessen Laufbahn eine ungewöhnliche Wendung nimmt: In kurzer Zeit wird Edgar Dacqué vom anerkannten Paläontologen zu einem Mythologen. Er glaubt nicht nur daran, dass Urmenschen (mit einem dritten Auge) gemeinsam mit Drachen in Atlantis gelebt haben, sondern verbreitet auch Ideen wie die Welteislehre. 	Moderne,Neueste Geschichte,Wissenschaft,Wissenschaftsgeschichte	
20	 Von Drachenknochen und Schildkrötenorakeln	Richard			19	19	China	CN					https://www.zeitsprung.fm/podcast/zs20/	Chinas Geschichte ist lang, geht aber noch viel weiter zurück als jene der bekannten Dynastien. Wie Fossilien dieser langen Geschichte, und die Praxis sie für Tinkturen aller Art zu verwenden, zur wohl wichtigsten archäologischen Entdeckung des späten 19. Jahrhunderts in China geführt haben, das erzählen wir in dieser Episode des Zeitsprungs.	Altertum,Antike,Asien,China,Knochen,Orakel	
21	 Von der Erfindung der Einbauküche	Daniel	1920	1920	20	20							https://www.zeitsprung.fm/podcast/zs21/	Diesmal geht es bei Zeitsprung um Architekturgeschichte: Wir widmen uns der Wiener Architektin Margarete Schütte-Lihotzky, die in den 1920er Jahren in Frankfurt den Prototypen der modernen Einbauküche entwickelt, die Frankfurter Küche.	1920,Frankfurt,Schütte-Lihotzky,Wien,Zeitgeschichte	
22	 Vom Goldjungen zum Staatsgefangenen	Richard			17	17	Germany	DE					https://www.zeitsprung.fm/podcast/zs22/	In diesem Zeitsprung sehen wir uns an, wie eine kleine Lüge schnell mal zu einer lebensverändernden Sache werden kann. Dazu springen wir ins 17. Jahrhundert und lernen einen jungen Mann namens Johann Friedrich Böttger kennen.	Alchemie,Deutschland,Gold,Meißen,Neuzeit,Porzellan,Sachsen	
23	 Ziemlich beste Feindschaft oder Die Anfänge der Bakteriologie	Daniel			19	19							https://www.zeitsprung.fm/podcast/zs23/	Ein Zeitsprung über Wissenschaftsgeschichte: Wir springen ans Ende des 19. Jahrhunderts und werden Zeugen eines historischen Streits zweier weltberühmter Wissenschaftler, die die Grundlagen der Mikrobiologie und Bakteriologie geschaffen haben – Robert Koch und Luis Pasteur. 	Bakteriologie,Luis Pasteur,Mikrobiologie,Moderne,Neueste Geschichte,Robert Koch,Wissenschaft,Wissenschaftsgeschichte	
24	 A French Connection, zum Scheitern verurteilt	Daniel											https://www.zeitsprung.fm/podcast/zs24/	Manche Verschwörungen sind zum Scheitern verurteilt. Eine davon haben wir ausgegraben: Kulisse dafür ist der amerikanische Unabhängigkeitskrieg, Protagonisten sind ein hochrangiger französischer Offizier und ein junger, etwas naiver Aristokrat, der es aber doch noch zum Hero of Two Worlds brachte.	Französische Revolution,Krieg,Neuzeit,Nordamerika,Unabhängigkeitskrieg	
25	 Eine kaiserliche Bibliothek des Menschengeschlechts	Daniel	1575	1575	16	16							https://www.zeitsprung.fm/podcast/zs25/	1575 wird Hugo Blotius zum ersten offiziellen Bibliothekar der kaiserlichen Bibliothek in Wien – die heutige Nationalbibliothek. Er erfindet in der Folge nicht nur den Leihschein, sondern plant mit der »Bibliotheca Generis Humani Imperatoriae« eine Bibliothek gigantischen Ausmaßes.	Bibliothek,Frühe Neuzeit	
26	 Wie der Champagner zu seinen Bläschen kam	Richard					France	FR					https://www.zeitsprung.fm/podcast/zs26/	Die Champagne in Frankreich war nicht immer berühmt für den nach ihr benannten Schaumsekt. In diesem Zeitsprung sprechen wir darüber, wie die Weinbauern aus einem regionalen Nachteil einen Vorteil, und daraus gleich eine bis heute erfolgreiche Branche machten.	Champagner,Dom Perignon,Frankreich,Neuzeit,Sekt	
27	 Die Rote Zora und ihre Vorfahren	Daniel											https://www.zeitsprung.fm/podcast/zs27/	In dieser Episode widmen wir uns der kurzen, aber ereignisreichen Geschichte der Uskoken, deren Name nicht nur mit Piraterie und der kroatischen Küstenstadt Senj verbunden ist, sondern auch mit einem Kinderbuchklassiker. 	Frühe Neuzeit,Habsburger Monarchie,Piraterie,Uskoken,Venedig	
28	 Von Appenzellern, Bregenzern und einer Frau namens Guta	Daniel			15	15	Switzerland	CH					https://www.zeitsprung.fm/podcast/zs28/	In dieser Episode springen wir in die Zeit der Appenzellerkriege im sehr frühen 15. Jahrhundert. Der Sage nach spielte eine alte Spinnerin dabei eine wichtige Rolle. Aber tat sie das wirklich?	Appenzell,Krieg,Mittelalter,Schweiz,St. Gallen,Vorarlberg	
29	 Ein Müller in den Fängen der Inquisition	Daniel			16	16	Italy	IT					https://www.zeitsprung.fm/podcast/zs29/	Ende des 16. Jahrhunderts erregt Domenico Scandella, ein Müller in einem kleinen Bergdorf in Oberitalien, die Aufmerksamkeit der Inquisition. Die Geschichte bietet einen seltenen und überraschenden Einblick in das Leben eines Menschen in der Frühen Neuzeit, der nicht nur heftige Kritik an der Kirche übte, sondern die Entstehung der Welt anhand von vergorenem Käse erklärte.	Frühe Neuzeit,Inquisition,Italien	
30	 Wie die Zeit zu unserer Zeit wurde	Richard			19	19							https://www.zeitsprung.fm/podcast/zs30/	Pünktlich zur Jubiläumsepisode sehen wir uns die eine Sache genauer an, um die es hier immer geht: die Zeit. Obwohl die Zeitbestimmung und Zeitmessung schon seit Jahrtausenden durchgeführt wird, ist unsere standardisierte Zeit ein relativ junges Kind der Geschichte. Wir sprechen darüber, warum im Laufe des 19. Jahrhunderts beinahe zeitgleich (ha!) überall auf der Welt die Standardisierung der Zeit forciert wurde. Ein Zeitsprung also im wahrsten Sinne des Wortes.	Eisenbahn,Neuzeit,Wissenschaft,Zeit	
31	 Blitzkrieg im Fußballstadion	Daniel	1941	1941	20	20	Germany	DE					https://www.zeitsprung.fm/podcast/zs31/	Wir springen diesmal in die Zeit des Nationalsozialismus und widmen uns der Geschichte des Fußballs. Es geht um einen Fußballsystemstreit zwischen Sepp Herberger und Karl Oberhuber hinter dem deutlich mehr steckt als reine Fußballtaktik. Dabei streifen wir einige zentrale Themen der Fußballgeschichte, wie das Pyramidensystem und das WM-System, die Abseitsregel oder das Finale der Deutschen Meisterschaft 1941 zwischen Schalke 04 und Rapid Wien. 	Deutschland,Fußball,Nationalsozialismus,Neueste Geschichte,Sport,Sportgeschichte,Taktik	
32	 Henry Gunther	Richard	1895	1895	19	19							https://www.zeitsprung.fm/podcast/zs32/	Wir springen diese Woche nicht weit zurück: Wir starten im Jahr 1895 mit der Geburt eines Mannes namens Henry Gunther und begleiten sein Leben einige Zeit. Was es mit Henry Gunther genau auf sich hat, sei hier jedoch noch nicht verraten.	1. Weltkrieg,Krieg,Schicksale,Zeitgeschichte	
33	 Curta – eine Rechenmaschine und ihre Geschichte	Daniel	1930	1947	20	20	Liechtenstein	LI					https://www.zeitsprung.fm/podcast/zs33/	In dieser Woche widmen wir uns der Geschichte einer mechanischen Rechenmaschine und dem bewegten Schicksal ihres Erfinders: Der Wiener Curt Herzstark entwarf die Curta in den 1930er Jahren und beendete die Pläne im KZ Buchenwald, ehe die kleinste serienmäßig produzierte Vier-Spezies-Rechenmaschine der Welt in Liechtenstein ab 1947 hergestellt wurde.	KZ Buchenwald,Mathematik,Neueste Geschichte,Technik,Wien,Zeitgeschichte	
34	 Tee, Silber und Rauschmittel	Richard			18	20	England, China	CN, Unknown code					https://www.zeitsprung.fm/podcast/zs34/	Wir springen in diesem Zeitsprung zurück ins 18. Jahrhundert, wandern dann weiter bis ins mittlere 19. Jahrhundert, und sehen uns an, welche Auswirkungen der unbändige Durst der Briten nach Tee für China hatte. Auswirkungen, die direkt bis tief ins 20. Jahrhundert, indirekt bis heute zu spüren sind.	China,England,Kolonialismus,Neuzeit,Opium,Silber,Tee	
35	 Magia Posthuma – Vampirismus in Zeiten der Aufklärung	Daniel			18	18							https://www.zeitsprung.fm/podcast/zs35/	Im 18. Jahrhundert häufen sich an den Rändern der Habsburger Monarchie Fälle von Magia Posthuma – Totenzauber! Diese frühen Berichte von Vampirismus beschäftigen nicht nur die Gelehrten der Aufklärung, sondern auch den kaiserlichen Hof in Wien: Maria Theresia verbietet daraufhin nicht nur jegliche Formen von Grab- und Leichenschändungen, sondern beauftragt ihren Leibarzt Gerard van Swieten mit der Untersuchung der Vorfälle. 	18. Jahrhundert,Aufklärung,Habsburg,Habsburger Monarchie,Vampir,Wissenschaft	
36	 Eine sehr kurze Geschichte des Deodorants	Richard			20	20							https://www.zeitsprung.fm/podcast/zs36/	Duftende und wohlriechende Menschen wohin man geht, das gab’s nicht immer. Das gibt es zwar auch heute nicht überall, aber in diesem Zeitsprung sprechen wir darüber, wie neue Werbungs- und Marketingstrategien uns Anfang des 20. Jahrhunderts dazu brachten, Deodorant als etwas Unersetzliches anzusehen.	Deodorant,Gerüche,Marketing,Neuzeit,Werbung	
37	 Eine Reise um die Welt	Daniel	1846	1846	19	19							https://www.zeitsprung.fm/podcast/zs37/	Wir springen in das Jahr 1846 und begleiten eine der ersten Weltreisenden auf ihrer zweijährigen Tour um den Globus. Die Wienerin Ida Pfeiffer bricht zwar alleine auf, aber sie nutzt ein Netzwerk europäischer Eliten, auf das sie auf der ganzen Welt zugreifen kann. Sie sammelt Naturalien für Museen und Ausstellungen und finanziert ihre Fahrten durch Bücher und Reiseberichte – die alle auch digital verfügbar sind.	19. Jahrhundert,Neuere Geschichte,Reise	
38	 Eine kurze Geschichte der Leibeigenschaft	Richard											https://www.zeitsprung.fm/podcast/zs38/	In dieser Episode befassen wir uns mit Unfreien, Leibeigenen oder schlicht jener Schicht, die über Jahrhunderte die tägliche Arbeit verrichtete. Als Beispiel wie manche Mitglieder dieser Schicht behandelt wurden, dient eine recht grauenvolle Episode aus dem frühen Mittelalter.	Franken,Leibeigenschaft,Merowinger,Mittelalter,Neuzeit,Unfreie,Vasallen	
39	 Die Legion Erzengel Michael und Corneliu Codreanu	Daniel					Romania	RO					https://www.zeitsprung.fm/podcast/zs39/	Wir springen in das Groß-Rumänien der Zwischenkriegszeit: Unter Corneliu Zelea Codreanu entstand mit der Legionärsbewegung die drittgrößte faschistische Bewegung Europas. Im Gegensatz zu anderen Faschisten setzte der »Căpitanul« genannte Parteiführer nicht auf mitreißende Reden, sondern auf Schweigen. So kommt es, dass nur ein einziges Tondokument von ihm erhalten ist. 	Codreanu,Faschismus,Neueste Geschichte,Rumänien	
40	 Über den Ursprung der Seidenstraße	Richard					China	CN					https://www.zeitsprung.fm/podcast/zs40/	Die Seidenstraße, Überbegriff für Routen von Ostasien bis zum Mittelmeer, transportierte nicht nur Waren, sondern auch Ideen, Philosophien, Religionen und ganze Kulturen. In diesem Zeitsprung sprechen wir über die Anfänge dieser bahnbrechenden Entwicklung und warum wir sie wahrscheinlich Pfeil und Bogen zu verdanken haben.	Asien,China,Handel,Seidenstraße,Wirtschaft	
41	 Der Wiener Kreis und die Ermordung von Moritz Schlick	Daniel	1936	1936	20	20							https://www.zeitsprung.fm/podcast/zs41/	Am 22. Juni 1936 wird Moritz Schlick, einer der Protagonisten des Wiener Kreises, auf dem Weg zu seiner Vorlesung von einem ehemaligen Doktoranden ermordet. In diesem Zeitsprung beschäftigen wir uns mit den Positionen des Neopositivismus, einer der einflussreichsten wissenschaftlichen Strömung des 20. Jahrhunderts, und den (politischen) Umständen, die zum Ende des Wiener Kreises führten.	Moritz Schlick,Neueste Geschichte,Universität,Wien,Wiener Kreis,Wissenschaft,Wissenschaftsgeschichte	
42	 The City of Roses – Ein Rosengarten für Portland	Daniel	1917	1917	20	20							https://www.zeitsprung.fm/podcast/zs42/	Portland ist für seine bunte Musik- und Kunstszene bekannt, für eine hohe Hipster- und Kaffeebrauerdichte. Die Stadt selbst schmückt sich gern mit Rosen und mit einem besonders prächtigen – und für amerikanische Verhältnisse – uralten Rosengarten, den “International Rose Test Garden”. Heute kann man dort an tausenden Rosenbüschen schnuppern und neuen Sorten beim Wachsen zuschauen. Angelegt wurde der Garten 1917, mitten im 1. Weltkrieg, als “Safe Haven” für europäische Rosenzüchtungen. 	Blumen,Garten,Portland,Rosen,Zeitgeschichte	
43	 Josef Eisemann, Seiltänzer in Wien	Richard	1949	1949	20	20	Austria	AT					https://www.zeitsprung.fm/podcast/zs43/	Wir springen in diesem Zeitsprung in die Nachkriegszeit, der Ort des Geschehens ist Wien. Es geht in dieser (fast vergessenen) Geschichte um Josef Eisemann, Seiltänzer and tragische Sensation des Sommers 1949.	Akrobatik,Krieg,Nachkriegszeit,Österreich,Seiltanz,Stadtgeschichte,Tragödie,Wien,Zeitgeschichte	
44	 Eine kurze Geschichte der Süßigkeiten	Daniel					France, Italy, England	Unknown code, IT, FR					https://www.zeitsprung.fm/podcast/zs44/	Wir springen diesmal quer durch die Jahrhunderte und sprechen in mehreren Anekdoten darüber, wie Süßigkeiten das wurden, was sie heute sind.	Antike,England,Essen,Frankreich,Italien,Leonardo da Vinci,Marzipan,Mittelalter,Neuzeit,Süßigkeiten	
45	 Zwentendorf – Das sicherste Kernkraftwerk der Welt	Daniel	1970	1970	20	20	Austria	AT					https://www.zeitsprung.fm/podcast/zs45/	In den 1970er Jahren soll in Österreich, nur 40 Kilometer Luftlinie von Wien entfernt, das erste österreichische Kernkraftwerk in Betrieb gehen. Der Bau ist fertiggestellt, die Brennstäbe sind geliefert, doch die erste (und unglaublich knappe) Volksabstimmung der 2. Republik und die sich formierende Umweltbewegung machen dem Kanzler Kreisky einen Strich durch die Rechnung.	Atomkraft,Atomkraftwerk,Kernkraft,Kernkraftwerk,Kreisky,Zeitgeschichte,Zwentendorf	
46	 Aufstieg und Fall der Republik Ragusa	Richard			19	19	Croatia	HR					https://www.zeitsprung.fm/podcast/zs46/	In diesem Zeitsprung springen wir bis ins späte Früh-Mittelalter und begleiten den mediterranen Stadtstaat Ragusa an der dalmatinischen Küste von seiner Gründung, seiner Blütezeit und schlussendlich bis zu seinem Ende im 19. Jahrhundert.	Handel,Kroatien,Mittelalter,Mittelmeer,Neuzeit,Venedig,Wirtschaftsgeschichte	
47	 Die Schwabenkinder und ihre Geschichte	Daniel					Germany, Austria, Switzerland	AT, DE, CH					https://www.zeitsprung.fm/podcast/zs47/	Über mehrere Jahrhunderte wurden Kinder aus den Bergdörfern in Tirol, Vorarlberg und der Schweiz über die Alpen nach Schwaben geschickt, um dort zu arbeiten. In diesem Zeitsprung verfolgen wir die Geschichte der Schwaben- oder Hütekinder vom Beginn des Schwabengehens, in der Frühen Neuzeit, bis zum Ende nach dem 1. Weltkrieg.	Deutschland,Frühe Neuzeit,Kinderarbeit,Neuere Geschichte,Österreich,Schwaben,Tirol	
